KEY ID	French
QCAccAIsLyingNeg_QCCrewMe	Je dis la vérité
QCAccAIsLyingNeg	{0} dit la vérité
QCAccAIsLyingNeg_QCCrewNoOne	Tout le monde ment
QCAccVoteA_QCCrewMe	Votez contre moi
QCAccVoteA	Votez contre {0}
QCAccVoteA_QCCrewNoOne	Ne votez pas
QCAccVoteANeg_QCCrewMe	Ne votez pas contre moi
QCAccVoteANeg	Ne votez pas contre {0}
QCAccVoteANeg_QCCrewNoOne	
QCAccADidntReport_QCCrewMe	Je n'ai pas signalé le corps
QCAccADidntReport	{0} n'a pas signalé le corps
QCAccADidntReport_QCCrewNoOne	
QCResAWas_QCCrewMe	C'était moi
QCResAWas	C'etait {0}
QCResAWas_QCCrewNoOne	Ce n'était personne
QCResAWasNeg_QCCrewMe	Ce n'était pas moi
QCResAWasNeg	Ce n'était pas {0}
QCResAWasNeg_QCCrewNoOne	
QCResADid_QCCrewMe	Je l'ai fait
QCResADid	{0} l'a fait
QCResADid_QCCrewNoOne	Personne ne l'a fait
QCResADidNeg_QCCrewMe	Je ne l'ai pas fait
QCResADidNeg	{0} ne l'a pas fait
QCResADidNeg_QCCrewNoOne	
QCResAWasAtB_QCCrewMe_ANY	J'étais ici : {1}
QCResAWasAtB	{0} était ici : {1}
QCResAWasAtB_QCCrewNoOne_ANY	Personne n'etait ici : {1)
QCResAWasAtBNeg_QCCrewMe_ANY	Je n'étais pas ici : {1}
QCResAWasAtBNeg	{0} n'etait pas ici : {1}
QCResAWasAtBNeg_QCCrewNoOne_ANY	
QCQstWhoWasWith_QCCrewMe	Qui était avec moi ?
QCQstWhoWasWith	Qui était avec {0} ?
QCQstWhoWasWith_QCCrewNoOne	Qui était tout seul ?
QCQstWhatWasADoing_QCCrewMe	
QCQstWhatWasADoing	Que faisait {0} ?
QCQstWhatWasADoing_QCCrewNoOne	
QCQstWhereWasA_QCCrewMe	
QCQstWhereWasA	Ou était {0} ?
QCQstWhereWasA_QCCrewNoOne	
QCStaASawB_QCCrewMe_ANY	J'ai vu {0}
QCStaASawB_QCCrewMe_QCCrewNoOne	Je n'ai vu personne
QCStaASawB_QCCrewMe_QCCrewMe	
QCStaASawB_ANY_QCCrewMe	{0} m'a vu
QCStaASawB	{0} a vu {1}
QCStaASawB_ANY_QCCrewNoOne	{0} n'a vu personne
QCStaASawB_QCCrewNoOne_QCCrewMe	Personne ne m'a vu
QCStaASawB_QCCrewNoOne_ANY	Personne n'a vu {0}
QCStaASawB_QCCrewNoOne_QCCrewNoOne	Personne n'a vu quiconque
QCStaAWasWithB_QCCrewMe_ANY	J'étais avec {0}
QCStaAWasWithB_QCCrewMe_QCCrewNoOne	J'étais tout seul
QCStaAWasWithB_QCCrewMe_QCCrewMe	
QCStaAWasWithB_ANY_QCCrewMe	{0} était avec moi
QCStaAWasWithB	{0} était avec {1}
QCStaAWasWithB_ANY_QCCrewNoOne	{0} était tout seul
QCStaAWasWithB_QCCrewNoOne_QCCrewMe	Personne n'était avec moi
QCStaAWasWithB_QCCrewNoOne_ANY	Personne n'était avec {0}
QCStaAWasWithB_QCCrewNoOne_QCCrewNoOne	Personne n'était avec quiconque
QCStaADidB_QCCrewMe_ANY	J'ai fait {1}
QCStaADidB	{0} a fait {1}
QCStaADidB_QCCrewNoOne_ANY	Personne n'a fait {1}
QCStaASelfReported_QCCrewMe	J'ai auto-signalé
QCStaASelfReported	{0} a auto-signalé
QCStaASelfReported_QCCrewNoOne	Personne n'a auto-signalé
QCStaACalledMeeting_QCCrewMe	J'ai demandé une réunion
QCStaACalledMeeting	{0} a demandé une réunion
QCStaACalledMeeting_QCCrewNoOne	Personne n'a demandé une réunion
