KEY ID	Korean
QCAccAWasChasingB_QCCrewMe_QCCrewNoOne	난 아무도 안 따라다녔어
QCAccAWasChasingB_QCCrewMe_QCCrewMe	
QCAccAWasChasingB_ANY_QCCrewMe	{0}(이)가 날 따라다녔어
QCAccAWasChasingB	{0}(이)가 {1}(을)를 따라다녔어
QCAccAWasChasingB_ANY_QCCrewNoOne	{0}(은)는 아무도 안 따라다녔어
QCAccAWasChasingB_QCCrewNoOne_QCCrewMe	아무도 날 안 따라다녔어
QCAccAWasChasingB_QCCrewNoOne_ANY	아무도 {0}(을)를 안 따라다녔어
QCAccAWasChasingB_QCCrewNoOne_QCCrewNoOne	누구 따라다닌 사람 아무도 없어
QCAccAWasChasingBNeg_QCCrewMe_ANY	난 {0}(을)를 안 따라다녔어
QCAccAWasChasingBNeg_QCCrewMe_QCCrewNoOne	난 아무도 안 따라다녔어
QCAccAWasChasingBNeg_QCCrewMe_QCCrewMe	
QCAccAWasChasingBNeg_ANY_QCCrewMe	{0}(은)는 날 안 따라다녔어
QCAccAWasChasingBNeg	{0}(은)는 {1}(을)를 안 따라다녔어
QCAccAWasChasingBNeg_ANY_QCCrewNoOne	{0}(은)는 아무도 안 따라다녔어
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewMe	
QCAccAWasChasingBNeg_QCCrewNoOne_ANY	
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsLying_QCCrewMe	나 거짓말하고 있어
QCAccAIsLying	{0}(은)는 거짓말하고 있어
QCAccAIsLying_QCCrewNoOne	거짓말하는 사람은 아무도 없어
QCAccAIsLyingNeg_QCCrewMe	난 사실을 말하고 있어
QCAccAIsLyingNeg	{0}(은)는 사실을 말하고 있어
QCAccAIsLyingNeg_QCCrewNoOne	진실을 말하는 사람은 아무도 없어
QCAccVoteA_QCCrewMe	나한테 투표해
QCAccVoteA	{0}에게 투표해
QCAccVoteA_QCCrewNoOne	아무에게도 투표하지 마
QCAccVoteANeg_QCCrewMe	나한테 투표하지 마
QCAccVoteANeg	{0}에게 투표하지 마
QCAccVoteANeg_QCCrewNoOne	
QCAccADidntReport_QCCrewMe	나 시체 신고 안 했어
QCAccADidntReport	{0}(은)는 시체 신고 안 했어
QCAccADidntReport_QCCrewNoOne	
QCResAWas_QCCrewMe	내가 그랬어
QCResAWas	{0}이(가) 그랬어
QCResAWas_QCCrewNoOne	아무도 안 그랬어
QCResAWasNeg_QCCrewMe	난 안 그랬어
QCResAWasNeg	{0}(은)는 안 그랬어
QCResAWasNeg_QCCrewNoOne	
QCResADid_QCCrewMe	내가 했어
QCResADid	{0}이(가) 했어
QCResADid_QCCrewNoOne	아무도 안 했어
QCResADidNeg_QCCrewMe	난 안 했어
QCResADidNeg	{0}(은)는 안 했어
QCResADidNeg_QCCrewNoOne	
QCResAWasAtB_QCCrewMe_ANY	난 {1}에 있었어
QCResAWasAtB	{0}(은)는 {1}에 있었어
QCResAWasAtB_QCCrewNoOne_ANY	{1}에 있던 사람 없어
QCResAWasAtBNeg_QCCrewMe_ANY	난 {1}에 없었어
QCResAWasAtBNeg	{0}(은)는 {1}에 없었어
QCResAWasAtBNeg_QCCrewNoOne_ANY	
QCQstWhoWasWith_QCCrewMe	누가 나랑 있었지?
QCQstWhoWasWith	누가 {0}(이)랑 있었지?
QCQstWhoWasWith_QCCrewNoOne	누가 혼자 있었지?
QCQstWhatWasADoing_QCCrewMe	
QCQstWhatWasADoing	{0}(이)가 뭐 하고 있었지?
QCQstWhatWasADoing_QCCrewNoOne	
QCQstWhereWasA_QCCrewMe	
QCQstWhereWasA	{0}(은)는 어디 있었지?
QCQstWhereWasA_QCCrewNoOne	
QCStaASawB_QCCrewMe_ANY	난 {0}(을)를 봤어
QCStaASawB_QCCrewMe_QCCrewNoOne	난 아무도 못 봤어
QCStaASawB_QCCrewMe_QCCrewMe	
QCStaASawB_ANY_QCCrewMe	{0}(이)가 날 봤어
QCStaASawB	{0}(이)가 {1}(을)를 봤어
QCStaASawB_ANY_QCCrewNoOne	{0}(은)는 아무도 못 봤어
QCStaASawB_QCCrewNoOne_QCCrewMe	아무도 날 못 봤어
QCStaASawB_QCCrewNoOne_ANY	아무도 {0}(을)를 못 봤어
QCStaASawB_QCCrewNoOne_QCCrewNoOne	본 사람이 아무도 없어
QCStaAWasWithB_QCCrewMe_ANY	난 {0}(이)랑 있었어
QCStaAWasWithB_QCCrewMe_QCCrewNoOne	난 혼자 있었어
QCStaAWasWithB_QCCrewMe_QCCrewMe	
QCStaAWasWithB_ANY_QCCrewMe	{0}(은)는 나랑 있었어
QCStaAWasWithB	{0}(은)는 {1}(이)랑 있었어
QCStaAWasWithB_ANY_QCCrewNoOne	{0}(은)는 혼자 있었어
QCStaAWasWithB_QCCrewNoOne_QCCrewMe	아무도 나랑 같이 있지 않았어
QCStaAWasWithB_QCCrewNoOne_ANY	아무도 {0}(이)랑 같이 있지 않았어
QCStaAWasWithB_QCCrewNoOne_QCCrewNoOne	같이 있던 사람 없었어
QCStaADidB_QCCrewMe_ANY	내가 {1} 작업했어
QCStaADidB	{0}(은)는 {1} 작업했어
QCStaADidB_QCCrewNoOne_ANY	아무도 {1} 작업 안 했어
QCStaASelfReported_QCCrewMe	내가 셀프 신고했어
QCStaASelfReported	{0}(이)가 셀프 신고했어
QCStaASelfReported_QCCrewNoOne	셀프 신고한 사람 없어
QCStaACalledMeeting_QCCrewMe	내가 회의 소집했어
QCStaACalledMeeting	{0}(이)가 회의 소집했어
QCStaACalledMeeting_QCCrewNoOne	회의 소집한 사람 없어
QCMore	더 많이
	
	
SecurityLogsSystem	보안실 카메라
SecurityCamsSystem	관리실 맵
AdminMapSystem	바이탈 모니터
VitalsSystem	보안 로그
